Idade ;Género;Estado Civil ;Nível de Escolaridade ;Qual o Concelho em que vive;Distrito de Residência;Região de Residência;Qual o Concelho de destino da maioria das deslocações quotidianas;Qual o modo de transporte que MAIS usa diariamente?;Utiliza outro modo de transporte diariamente? Indique quais;Qual a distância de sua casa até ao local de destino mais habitual (em km)?;Quanto tempo demora de casa ao local de destino mais habitual?;Costuma usar a bicicleta maioritariamente para ;Como Modo de Transporte utiliza a Bicicleta quantos dias por semana?;Gostaria de usar mais vezes a bicicleta na deslocação diária (como modo de transporte)?;Porque não usa a bicicleta como modo de transporte?;O que o/a faria usar (ou usar mais) a bicicleta como modo de transporte?;Quantos  pedala por semana, enquanto modo de transporte?;Qual o tipo de bicicleta que mais utiliza?;Em média quantos dias por semana pedala (considerando todos os modos);Quantos km pedala por semana, enquanto lazer?;Quanto km pedala por semana, enquanto deporto?
40-44 anos;Masculino;Unido de Facto;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé, De Trotinete;4;5 a 20 minutos;Para Lazer;1;Sim;;Conseguir levar os meus filhos de bicicleta;0;Bicicleta Urbana/Convencional, Bicicleta de Montanha;1;4;
45-49 anos;Masculino;Casado/a;Licenciatura;Loures;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);A pé;4;Menos de 5 minutos;Para Desporto;;Sim;;Ter onde fazer a higiene depois da deslocação.;0;Bicicleta de Estrada, Bicicleta de Montanha;6;;250
55-59 anos;Masculino;Casado/a;Ensino Secundário;Loures;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);De Bicicleta, De Trotinete;4;5 a 20 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;4;Bicicleta de Estrada;2;;100
50-54 anos;Feminino;Solteiro/a;Ensino Secundário;Marinha Grande;Leiria;Centro;Marinha Grande;De Bicicleta;Mais nenhum;4;5 a 20 minutos;Como Modo de Transporte;7;Não;;Mais nada, já vou de bicicleta.;60;Bicicleta de Montanha;7;40;40
65-69 anos;Masculino;Casado/a;Licenciatura;Matosinhos;Porto;Norte;Porto;De Transporte Público;De Carro (Condutor);4;21 a 35 minutos;Não uso;;;Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Não quero chegar suado, Não acho prático;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino;;;;;
60-64 anos;Feminino;Casado/a;Licenciatura;Matosinhos;Porto;Norte;Porto;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Há muitas subidas no meu percurso;Ter ciclovias seguras de casa até ao meu destino;;;;;
75-79 anos;Masculino;Casado/a;Licenciatura;Matosinhos;Porto;Norte;Matosinhos;De Carro (Condutor);De Bicicleta;4;5 a 20 minutos;Para Desporto;;Sim;;Conseguir articular o uso da bicicleta com outro modo de transporte;10;Bicicleta Elétrica;2;40;
65-69 anos;Masculino;Casado/a;Mestrado;Montemor-o-Novo;Évora;Alentejo;Montemor-o-Novo;De Transporte Público;A pé;4;5 a 20 minutos;Como Modo de Transporte;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;5;Bicicleta Urbana/Convencional;2;3;
55-59 anos;Feminino;Casado/a;Mestrado;Montijo;Setúbal;Área Metropolitana de Lisboa;Montijo;De Carro (Condutor);A pé, De Carro (Passageiro);4;Menos de 5 minutos;Não uso;;;Não tenho bicicleta, Não tenho onde guardar a minha bicicleta, Não tenho onde estacionar a bicicleta no local de destino (espaço público);Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;;;;;
45-49 anos;Masculino;Unido de Facto;Ensino Secundário;Odemira;Beja;Alentejo;Odemira;De Carro (Condutor);De Mota (condutor);4;5 a 20 minutos;Para Desporto;;Sim;;Tenho de levar os meus filhos para a escola;0;Bicicleta de Estrada;5;20;150
45-49 anos;Feminino;Unido de Facto;Licenciatura;Oeiras;Lisboa;Área Metropolitana de Lisboa;Oeiras;De Carro (Condutor);A pé, De Bicicleta;4;5 a 20 minutos;Como Modo de Transporte;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Receber por cada km que pedalasse;5;Bicicleta de Montanha;2;;
65-69 anos;Masculino;Casado/a;Ensino Secundário;Oeiras;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé;4;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta Elétrica;4;20;150
55-59 anos;Masculino;Divorciado/a;Ensino Secundário;Ponte da Barca;Viana do Castelo;Norte;Ponte da Barca;De Bicicleta;A pé, De Bicicleta;4;5 a 20 minutos;Como Modo de Transporte;7;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;40;Bicicleta Urbana/Convencional, Bicicleta de Estrada;7;55;400
50-54 anos;Masculino;Unido de Facto;Ensino Secundário;Portimão;Faro;Algarve;Portimão;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;0;Bicicleta de Estrada, Bicicleta de Montanha;3;;50
60-64 anos;Masculino;Casado/a;Ensino Básico (1.º Ciclo);Portimão;Faro;Algarve;Portimão;De Carro (Condutor);De Bicicleta;4;5 a 20 minutos;Para Lazer;;Sim;;Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;4;40;50
45-49 anos;Feminino;Casado/a;Licenciatura;Porto;Porto;Norte;Vila do Conde;De Carro (Condutor);De Carro (Passageiro);4;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta Elétrica;1;7,5;
50-54 anos;Masculino;Casado/a;Licenciatura;Porto;Porto;Norte;Porto;De Carro (Condutor);A pé, De Bicicleta;4;21 a 35 minutos;Como Modo de Transporte;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;10;Bicicleta Urbana/Convencional;3;;
35-39 anos;Masculino;Casado/a;Mestrado;Porto;Porto;Norte;Porto;De Carro (Condutor);A pé;4;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar molhado, Não quero chegar suado, Há muitas subidas no meu percurso, Não consigo transportar o(s) meu(s) filho(s) na bicicleta;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino;;;;;
35-39 anos;Masculino;Casado/a;Doutoramento;Porto;Porto;Norte;Porto;De Carro (Condutor);A pé;4;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;1;5;
45-49 anos;Masculino;Casado/a;Doutoramento;Porto;Porto;Norte;Gondomar;De Bicicleta;De Carro (Passageiro);4;5 a 20 minutos;Como Modo de Transporte;5;Não;;Mais nada, já vou de bicicleta., Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;45;Bicicleta de Carga;6;10;40
25-29 anos;Masculino;Solteiro/a;Licenciatura;Porto;Porto;Norte;Porto;De Bicicleta;A pé, De Bicicleta, De Transporte Público, De Carro (Passageiro);4;5 a 20 minutos;Como Modo de Transporte;6;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;45;Bicicleta Dobrável;6;10;
55-59 anos;Feminino;Casado/a;Licenciatura;Porto;Porto;Norte;Porto;De Carro (Condutor);De Bicicleta;4;mais de 36 minutos;Para Lazer;3;Sim;;Ter ciclovias seguras de casa até ao meu destino;10;Bicicleta Elétrica;3;10;
60-64 anos;Masculino;Casado/a;Licenciatura;Porto;Porto;Norte;Porto;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público, De Mota (condutor);4;5 a 20 minutos;Para Desporto;3;Sim;;Ter ciclovias seguras de casa até ao meu destino;30;Bicicleta de Montanha;3;30;100
40-44 anos;Feminino;Casado/a;Doutoramento;Porto;Porto;Norte;Porto;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;0;Bicicleta Urbana/Convencional;1;0,2;
25-29 anos;Feminino;Solteiro/a;Mestrado;Porto;Porto;Norte;Porto;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Cicloturismo;2;5;15
45-49 anos;Masculino;Casado/a;Licenciatura;Porto;Porto;Norte;Porto;De Carro (Condutor);De Bicicleta;4;5 a 20 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Chuveiro no local de trabalho;1;Bicicleta de Montanha;2;;40
20-24 anos;Masculino;Solteiro/a;Mestrado;Porto;Porto;Norte;Porto;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não quero chegar molhado, Não quero chegar suado, meteorologia (demasiado calor/chuva);Nada, não gosto.;;;;;
45-49 anos;Feminino;Unido de Facto;Licenciatura;Póvoa de Varzim;Porto;Norte;Vila do Conde;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar molhado, Não quero chegar suado, É perigoso andar de bicicleta, Tenho de levar o(s) meu(s) filho(s) à escola, Tenho medo que o(s) meu(s) filho(s) usem bicicleta, mesmo comigo a acompanhar;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;;;;;
50-54 anos;Masculino;Casado/a;Ensino Secundário;Santarém;Santarém;Alentejo;Santarém;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;;55
25-29 anos;Masculino;Solteiro/a;Ensino Secundário;Sardoal;Santarém;Centro;Abrantes;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público;4;5 a 20 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino;0;Bicicleta Urbana/Convencional;1;5;
45-49 anos;Feminino;Divorciado/a;Licenciatura;Seixal;Setúbal;Área Metropolitana de Lisboa;Seixal;De Carro (Condutor);A pé;4;Menos de 5 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino;;;;;
70-74 anos;Masculino;Casado/a;Ensino Secundário;Seixal;Setúbal;Área Metropolitana de Lisboa;Barreiro;De Carro (Passageiro);A pé, De Bicicleta;4;mais de 36 minutos;Para Desporto;;Não;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Montanha;3;10;180
40-44 anos;Feminino;Solteiro/a;Mestrado;Setúbal;Setúbal;Área Metropolitana de Lisboa;Moita;A pé;De Bicicleta, De Transporte Público;4;5 a 20 minutos;Como Modo de Transporte;3;Sim;;Garantir que os carros andem a uma velocidade reduzida;20;Bicicleta Urbana/Convencional;3;;10
40-44 anos;Feminino;Solteiro/a;Mestrado;Valongo;Porto;Norte;Valongo;De Bicicleta;A pé, De Transporte Público;4;5 a 20 minutos;Como Modo de Transporte;7;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte, Acessibilidades nos acessos às estações de metro/comboio e facilidade na sua utilização dado que as bicicletas ocupam o seu devido espaço. ;75;Bicicleta Elétrica;5;;
40-44 anos;Feminino;Casado/a;Licenciatura;Vila do Conde;Porto;Norte;Vila do Conde;De Carro (Passageiro);A pé;4;5 a 20 minutos;Não uso;;;Não tenho bicicleta, É caro ter uma bicicleta, Não consigo transportar o(s) meu(s) filho(s) na bicicleta;Ter uma bicicleta, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;;;;;
45-49 anos;Feminino;Divorciado/a;Mestrado;Vila do Conde;Porto;Norte;Vila do Conde;A pé;De Bicicleta, De Carro (Condutor);4;5 a 20 minutos;Como Modo de Transporte;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;8;Bicicleta Urbana/Convencional;3;;
40-44 anos;Feminino;Unido de Facto;Licenciatura;Vila do Conde;Porto;Norte;Vila do Conde;De Carro (Condutor);De Bicicleta, De Transporte Público;4;5 a 20 minutos;Como Modo de Transporte;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;4;Bicicleta Urbana/Convencional;1;;
45-49 anos;Feminino;Casado/a;Licenciatura;Vila do Conde;Porto;Norte;Vila do Conde;De Carro (Condutor);De Bicicleta;4;5 a 20 minutos;Como Modo de Transporte;4;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;35;Bicicleta Elétrica;4;10;
55-59 anos;Feminino;Casado/a;Licenciatura;Vila Franca de Xira;Lisboa;Área Metropolitana de Lisboa;Vila Franca de Xira;De Carro (Condutor);A pé, De Transporte Público;4;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar molhado, Não quero chegar suado, Há muitas subidas no meu percurso;Ter ciclovias seguras de casa até ao meu destino, Tenho demasiadas coisas para transportar na bicicleta.;;;;;
35-39 anos;Feminino;Casado/a;Ensino Secundário;Vila Franca de Xira;Lisboa;Área Metropolitana de Lisboa;Vila Franca de Xira;De Carro (Condutor);A pé, De Bicicleta;4;5 a 20 minutos;Para Desporto;1;Sim;;Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;1;;13
40-44 anos;Feminino;Casado/a;Mestrado;Vila Nova de Gaia;Porto;Norte;Porto;De Bicicleta;A pé, De Trotinete, De Carro (Condutor);4;5 a 20 minutos;Como Modo de Transporte;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;25;Bicicleta Elétrica;3;4;
60-64 anos;Masculino;Unido de Facto;Licenciatura;Vila Nova de Gaia;Porto;Norte;Porto;De Bicicleta;De Carro (Condutor);4;21 a 35 minutos;Como Modo de Transporte;6;Sim;;Mais nada, já vou de bicicleta.;50;Bicicleta Elétrica;6;10;10
35-39 anos;Feminino;Casado/a;Mestrado;Vila Nova de Gaia;Porto;Norte;Trofa;De Carro (Condutor);De Bicicleta;4;5 a 20 minutos;Para Lazer;4;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;40;Bicicleta Urbana/Convencional;4;20;
45-49 anos;Masculino;Casado/a;Licenciatura;Vila Verde;Braga;Norte;Vila Verde;De Carro (Condutor);Mais nenhum;4;Menos de 5 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta Elétrica, Bicicleta de Montanha;2;30;30
15-19 anos;Feminino;Solteiro/a;Ensino Secundário;Vila Verde;Braga;Norte;Vila Verde;De Transporte Público;De Carro (Passageiro);4;21 a 35 minutos;Para Desporto;2;Sim;;Garantir que os carros andem a uma velocidade reduzida, Não me posso deslocar de bicicleta, O meu trabalho não me permite usar a bicicleta;3;Bicicleta Urbana/Convencional;3;4;6
10-14 anos;Feminino;Solteiro/a;Ensino Secundário;Vila Verde;Braga;Norte;Vila Verde;De Carro (Passageiro);De Trotinete;4;5 a 20 minutos;Como Modo de Transporte;3;Sim;;Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino;4;Bicicleta de Montanha;3;1;3
15-19 anos;Masculino;Solteiro/a;Outro;Vila Verde;Braga;Norte;Vila Real;De Bicicleta;A pé, De Bicicleta;4;21 a 35 minutos;Como Modo de Transporte;2;Sim;;Receber por cada km que pedalasse;3;Bicicleta de Estrada;3;2;
40-44 anos;Masculino;Solteiro/a;Licenciatura;Viseu;Viseu;Centro;Viseu;De Mota (condutor);Mais nenhum;4;Menos de 5 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano;Respeito por distâncias mínimas de segurança por parte de outros utilizadores ;;;;;
50-54 anos;Feminino;Divorciado/a;Mestrado;Viseu;Viseu;Centro;Viseu;De Bicicleta;Mais nenhum;4;5 a 20 minutos;Como Modo de Transporte;7;Não;;Mais nada, já vou de bicicleta;8;Bicicleta Elétrica, Bicicleta Urbana/Convencional;7;;
50-54 anos;Masculino;Casado/a;Doutoramento;Viseu;Viseu;Centro;Viseu;De Carro (Condutor);Mais nenhum;4;5 a 20 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte, Ter ciclovias mais segura de casa até á escola dos filhos;15;Bicicleta Urbana/Convencional;2;40;
65-69 anos;Feminino;Casado/a;Doutoramento;Viseu;Viseu;Centro;Viseu;De Carro (Condutor);A pé, De Bicicleta;4;5 a 20 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino;5;Bicicleta Elétrica;2;10;
65-69 anos;Masculino;Casado/a;Ensino Secundário;Viseu;Viseu;Centro;Viseu;A pé;De Carro (Condutor);4;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter vantagens por ir de bicicleta para o destino;0;Bicicleta de Estrada;3;;180
45-49 anos;Masculino;Casado/a;Mestrado;Vouzela;Viseu;Centro;São Pedro do Sul;De Carro (Condutor);A pé;4;5 a 20 minutos;Não uso;;;Moro longe, Não consigo transportar o(s) meu(s) filho(s) na bicicleta;Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino;;;;;
55-59 anos;Feminino;Casado/a;Mestrado;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;3,7;Menos de 5 minutos;Não uso;;;É perigoso andar de bicicleta;Ter ciclovias seguras de casa até ao meu destino;;;;;
30-34 anos;Feminino;Solteiro/a;Mestrado;Loures;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé, De Transporte Público;3,7;5 a 20 minutos;Para Lazer;;Sim;;Ter uma bicicleta, Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;1;10;
15-19 anos;Feminino;Solteiro/a;Ensino Básico (3.º Ciclo);Vila Verde;Braga;Norte;Vila Verde;De Transporte Público;Mais nenhum;3,7;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações;Nada, considero que não é o modo de transporte adequado ao meu estatuto;;;;;
55-59 anos;Masculino;Unido de Facto;Ensino Secundário;Almada;Setúbal;Área Metropolitana de Lisboa;Almada;De Bicicleta;Mais nenhum;3,5;5 a 20 minutos;Para Desporto;5;Sim;;Mais nada, já vou de bicicleta.;35;Bicicleta de Montanha;6;120;120
50-54 anos;Masculino;Unido de Facto;Doutoramento;Amadora;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé;3,5;21 a 35 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Preocupa-me que quem anda de carro não me respeite na bicicleta, Não tenho onde guardar a minha bicicleta, Não tenho onde estacionar a bicicleta no local de trabalho, Não tenho onde estacionar a bicicleta no local de destino (espaço público);Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;;;;;
60-64 anos;Masculino;Casado/a;Licenciatura;Aveiro;Aveiro;Centro;Ílhavo;De Bicicleta;A pé;3,5;5 a 20 minutos;Como Modo de Transporte;7;Sim;;Mais nada, já vou de bicicleta, Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;125;Bicicleta Elétrica;7;70;
45-49 anos;Masculino;Casado/a;Licenciatura;Aveiro;Aveiro;Centro;Aveiro;De Bicicleta;De Carro (Condutor);3,5;21 a 35 minutos;Como Modo de Transporte;5;Sim;;Mais nada, já vou de bicicleta.;35;Bicicleta Urbana/Convencional;5;;
55-59 anos;Feminino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Braga;A pé;De Transporte Público;3,5;21 a 35 minutos;Não uso;;;Não tenho bicicleta;Ter uma bicicleta;;;;;
25-29 anos;Feminino;Solteiro/a;Mestrado;Braga;Braga;Norte;Braga;De Transporte Público;A pé, De Carro (Condutor), De Carro (Passageiro);3,5;21 a 35 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Há muitas subidas no meu percurso, Em período de COVID utilizei a bicicleta como meio de transporte, porém atualmente devido à afluência de carro e à falta de condições apropriadas para a utilização deste meio de transporte, optei por utilizar (principalmente) o autocarro.;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;;;;;
75-79 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;3,5;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não quero chegar molhado, Não quero chegar suado, Há muitas subidas no meu percurso, Não acho prático, Braga é uma cidade muito soalheira ou muito chivosa, por um lado e, por outro muito acidentada que não é adequada ao uso da bicicleta, de que aliás não temos tradição, estando a edilidade a forçar a implementação rápida de um meio de transporte desadequado. Ademais a bicicleta não me permitiria transportar os meus meios de trabalho em segurança.;Nada, não gosto., Nada, considero que não é o modo de transporte adequado ao meu estatuto;;;;;
45-49 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Passageiro);3,5;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, Não gosto de andar de bicicleta, Tenho medo de transportar o(s) meu(s) filho(s) na bicicleta;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;;;;;
15-19 anos;Masculino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Transporte Público;A pé, De Carro (Passageiro);3,5;5 a 20 minutos;Não uso;;;Não tenho bicicleta;Ter uma bicicleta;;;;;
55-59 anos;Masculino;Unido de Facto;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);De Bicicleta;3,5;5 a 20 minutos;Para Lazer;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, já uso pontualmemnte quando as condições de tempo permitem. Mas há um estigma reprovatório em se circular de bicicleta p.ex, de fato !;20;Bicicleta de Estrada;4;20;80
45-49 anos;Feminino;Casado/a;Mestrado;Coimbra;Coimbra;Centro;Coimbra;De Bicicleta;A pé;3,5;5 a 20 minutos;Como Modo de Transporte;5;Sim;;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;17,5;Bicicleta Urbana/Convencional;5;3;
45-49 anos;Masculino;Casado/a;Ensino Secundário;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;Mais nenhum;3,5;5 a 20 minutos;Como Modo de Transporte;5;Sim;;Mais nada, já vou de bicicleta;100;Bicicleta de Carga;5;;
55-59 anos;Feminino;Unido de Facto;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé, De Bicicleta;3,5;21 a 35 minutos;Como Modo de Transporte;3;Sim;;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino;18;Bicicleta Elétrica;3;;
55-59 anos;Masculino;Casado/a;Mestrado;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Passageiro);A pé, De Bicicleta, De Trotinete;3,5;mais de 36 minutos;Como Modo de Transporte;1;Sim;;Ter ciclovias seguras de casa até ao meu destino;3;Bicicleta Elétrica;1;;
45-49 anos;Masculino;Unido de Facto;Ensino Secundário;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;A pé;3,5;5 a 20 minutos;Como Modo de Transporte;5;Não;;Mais nada, já vou de bicicleta.;70;Bicicleta Elétrica;5;15;
55-59 anos;Feminino;Casado/a;Doutoramento;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;Mais nenhum;3,5;21 a 35 minutos;Como Modo de Transporte;5;Não;;Mais nada, já vou de bicicleta.;35;Bicicleta Urbana/Convencional;5;;
40-44 anos;Masculino;Casado/a;Mestrado;Loulé;Faro;Algarve;Loulé;De Bicicleta;A pé;3,5;5 a 20 minutos;Como Modo de Transporte;7;Não;;Mais nada, já vou de bicicleta.;50;Bicicleta de Estrada, Bicicleta de Montanha;7;20;200
65-69 anos;Masculino;Solteiro/a;Doutoramento;Porto;Porto;Norte;Matosinhos;De Bicicleta;A pé;3,5;5 a 20 minutos;Como Modo de Transporte;7;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;50;Bicicleta Elétrica;7;20;
35-39 anos;Masculino;Unido de Facto;Licenciatura;Porto;Porto;Norte;Porto;De Bicicleta;A pé, De Transporte Público, De Carro (Condutor);3,5;5 a 20 minutos;Como Modo de Transporte;7;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, código de estrada específico para bicicletas, ou que as priorize;50;Bicicleta de Montanha;7;5;
